-1.1451776e+00 1 -1.1451716e+00 4.6904925e-01 3.0000000e+00 3.5665541e-11 #Y^,t,Y,y,c,e2
-1.4424727e+00 2 -1.4424431e+00 4.6101425e-01 3.0000000e+00 8.7729427e-10 #Y^,t,Y,y,c,e2
-1.8240723e+00 3 -1.8241223e+00 4.5070075e-01 4.3000000e+01 2.5020076e-09 #Y^,t,Y,y,c,e2
-2.3146346e+00 4 -2.3147017e+00 4.3744231e-01 4.3000000e+01 4.5010972e-09 #Y^,t,Y,y,c,e2
-2.9450597e+00 5 -2.9451223e+00 4.2040379e-01 4.3000000e+01 3.9159072e-09 #Y^,t,Y,y,c,e2
-3.7535473e+00 6 -3.7535531e+00 3.9855278e-01 4.3000000e+01 3.3307492e-11 #Y^,t,Y,y,c,e2
-4.7848996e+00 7 -4.7850213e+00 3.7067839e-01 6.1000000e+01 1.4809605e-08 #Y^,t,Y,y,c,e2
-6.0881200e+00 8 -6.0881168e+00 3.3545622e-01 6.1000000e+01 1.0334812e-11 #Y^,t,Y,y,c,e2
-7.7051550e+00 9 -7.7052977e+00 2.9175257e-01 9.4000000e+01 2.0376085e-08 #Y^,t,Y,y,c,e2
-9.6507142e+00 10 -9.6509997e+00 2.3916989e-01 5.0000000e+00 8.1484896e-08 #Y^,t,Y,y,c,e2
-1.1870527e+01 11 -1.1870661e+01 1.7917496e-01 5.0000000e+00 1.8035736e-08 #Y^,t,Y,y,c,e2
-1.4180902e+01 12 -1.4180662e+01 1.1673237e-01 8.8000000e+01 5.7662706e-08 #Y^,t,Y,y,c,e2
-1.6216414e+01 13 -1.6216533e+01 6.1718549e-02 9.0000000e+01 1.4214317e-08 #Y^,t,Y,y,c,e2
-1.7465216e+01 14 -1.7463959e+01 2.7967126e-02 1.2000000e+01 1.5798050e-06 #Y^,t,Y,y,c,e2
-1.7459140e+01 15 -1.7449844e+01 2.8131346e-02 8.2000000e+01 8.6410711e-05 #Y^,t,Y,y,c,e2
-1.6025817e+01 16 -1.6025766e+01 6.6869811e-02 7.1000000e+01 2.6344462e-09 #Y^,t,Y,y,c,e2
-1.3487445e+01 17 -1.3491325e+01 1.3547447e-01 7.5000000e+01 1.5057067e-05 #Y^,t,Y,y,c,e2
-1.0420620e+01 18 -1.0415753e+01 2.1836162e-01 3.9000000e+01 2.3686138e-05 #Y^,t,Y,y,c,e2
-7.3480302e+00 19 -7.3414378e+00 3.0140459e-01 3.9000000e+01 4.3460657e-05 #Y^,t,Y,y,c,e2
-4.6111017e+00 20 -4.6125207e+00 3.7537563e-01 3.8000000e+01 2.0136631e-06 #Y^,t,Y,y,c,e2
-2.3676699e+00 21 -2.3674728e+00 4.3600892e-01 7.6000000e+01 3.8826027e-08 #Y^,t,Y,y,c,e2
-6.0702112e-01 22 -6.0644739e-01 4.8359402e-01 7.6000000e+01 3.2917465e-07 #Y^,t,Y,y,c,e2
7.3962364e-01 23 7.3991262e-01 5.1998983e-01 2.8000000e+01 8.3506205e-08 #Y^,t,Y,y,c,e2
1.7644769e+00 24 1.7646011e+00 5.4768857e-01 6.5000000e+01 1.5430563e-08 #Y^,t,Y,y,c,e2
2.5598601e+00 25 2.5598073e+00 5.6918541e-01 6.0000000e+01 2.7902219e-09 #Y^,t,Y,y,c,e2
3.2063828e+00 26 3.2063600e+00 5.8665899e-01 6.0000000e+01 5.1794351e-10 #Y^,t,Y,y,c,e2
3.7683654e+00 27 3.7707569e+00 6.0184771e-01 9.3000000e+01 5.7194946e-06 #Y^,t,Y,y,c,e2
4.3022833e+00 28 4.3057735e+00 6.1627793e-01 9.3000000e+01 1.2182022e-05 #Y^,t,Y,y,c,e2
4.8523157e+00 29 4.8523450e+00 6.3114367e-01 7.4000000e+01 8.5917451e-10 #Y^,t,Y,y,c,e2
5.4413832e+00 30 5.4414191e+00 6.4706441e-01 7.4000000e+01 1.2876149e-09 #Y^,t,Y,y,c,e2
6.0949045e+00 31 6.0950247e+00 6.6472715e-01 9.0000000e+00 1.4433345e-08 #Y^,t,Y,y,c,e2
6.8260827e+00 32 6.8260817e+00 6.8448872e-01 4.9000000e+01 9.6027796e-13 #Y^,t,Y,y,c,e2
7.6366683e+00 33 7.6366673e+00 7.0639644e-01 8.4000000e+01 1.0473030e-12 #Y^,t,Y,y,c,e2
8.5147657e+00 34 8.5147168e+00 7.3012880e-01 8.4000000e+01 2.3996591e-09 #Y^,t,Y,y,c,e2
