0.0000000e+00 1 0.0000000e+00 0.0000000e+00 0.0000000e+00 58 0.0000000e+00 0.0000000e+00 0.0000000e+00 90 #Y^,t,Y,yr,var,c,v,k,b,nvar
3.0673842e-01 2 3.0673642e-01 3.0673842e-01 6.6814021e-06 31 0.0000000e+00 0.0000000e+00 0.0000000e+00 40 #Y^,t,Y,yr,var,c,v,k,b,nvar
0.0000000e+00 3 0.0000000e+00 0.0000000e+00 0.0000000e+00 51 0.0000000e+00 0.0000000e+00 0.0000000e+00 50 #Y^,t,Y,yr,var,c,v,k,b,nvar
7.0541625e-01 4 7.0541625e-01 7.0541625e-01 2.0857143e-17 5 0.0000000e+00 0.0000000e+00 0.0000000e+00 70 #Y^,t,Y,yr,var,c,v,k,b,nvar
0.0000000e+00 5 0.0000000e+00 0.0000000e+00 0.0000000e+00 21 0.0000000e+00 0.0000000e+00 0.0000000e+00 140 #Y^,t,Y,yr,var,c,v,k,b,nvar
1.3312767e-04 6 0.0000000e+00 1.3312767e-04 1.3349936e-06 18 0.0000000e+00 0.0000000e+00 0.0000000e+00 50 #Y^,t,Y,yr,var,c,v,k,b,nvar
1.2518065e-01 7 1.2587650e-01 1.2518065e-01 2.1499299e-05 32 0.0000000e+00 0.0000000e+00 0.0000000e+00 40 #Y^,t,Y,yr,var,c,v,k,b,nvar
4.8343636e-01 8 4.8343637e-01 4.8343636e-01 5.0736972e-06 19 0.0000000e+00 0.0000000e+00 0.0000000e+00 90 #Y^,t,Y,yr,var,c,v,k,b,nvar
0.0000000e+00 9 0.0000000e+00 0.0000000e+00 0.0000000e+00 21 0.0000000e+00 0.0000000e+00 0.0000000e+00 140 #Y^,t,Y,yr,var,c,v,k,b,nvar
0.0000000e+00 10 0.0000000e+00 0.0000000e+00 0.0000000e+00 23 0.0000000e+00 0.0000000e+00 0.0000000e+00 30 #Y^,t,Y,yr,var,c,v,k,b,nvar
0.0000000e+00 11 0.0000000e+00 0.0000000e+00 0.0000000e+00 28 0.0000000e+00 0.0000000e+00 0.0000000e+00 90 #Y^,t,Y,yr,var,c,v,k,b,nvar
