0.0000000e+00 1 0.0000000e+00 0.0000000e+00 0.0000000e+00 26  0 0.0000000e+00 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
3.0673642e-01 2 3.0673642e-01 3.0673642e-01 0.0000000e+00 46  0 7.8886091e-31 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
0.0000000e+00 3 0.0000000e+00 0.0000000e+00 0.0000000e+00 44  0 0.0000000e+00 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
7.0541624e-01 4 7.0541625e-01 7.0541624e-01 0.0000000e+00 50  0 6.4232766e-17 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
0.0000000e+00 5 0.0000000e+00 0.0000000e+00 0.0000000e+00 36  0 0.0000000e+00 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
0.0000000e+00 6 0.0000000e+00 0.0000000e+00 0.0000000e+00 34  0 0.0000000e+00 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
1.1887520e-01 7 1.2587650e-01 1.1887520e-01 0.0000000e+00 55  0 4.9018250e-05 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
4.8343636e-01 8 4.8343637e-01 4.8343636e-01 0.0000000e+00  0  0 1.1113757e-16 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
0.0000000e+00 9 0.0000000e+00 0.0000000e+00 0.0000000e+00  5  0 0.0000000e+00 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
0.0000000e+00 10 0.0000000e+00 0.0000000e+00 0.0000000e+00 35  0 0.0000000e+00 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
0.0000000e+00 11 0.0000000e+00 0.0000000e+00 0.0000000e+00 58  0 0.0000000e+00 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
0.0000000e+00 12 0.0000000e+00 0.0000000e+00 0.0000000e+00 36  0 0.0000000e+00 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
5.9081078e-01 13 5.9081078e-01 5.9081078e-01 0.0000000e+00  0  0 6.2117681e-18 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
3.1989536e-01 14 3.1989536e-01 3.1989536e-01 0.0000000e+00  6  0 3.0814879e-33 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
1.4227621e-01 15 1.4227621e-01 1.4227621e-01 0.0000000e+00 30  0 2.7810428e-31 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
7.4746830e-01 16 7.4746829e-01 7.4746830e-01 0.0000000e+00 50  0 1.5204335e-16 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
0.0000000e+00 17 0.0000000e+00 0.0000000e+00 0.0000000e+00 58  0 0.0000000e+00 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
0.0000000e+00 18 0.0000000e+00 0.0000000e+00 0.0000000e+00 28  0 0.0000000e+00 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
0.0000000e+00 19 0.0000000e+00 0.0000000e+00 0.0000000e+00 15  0 0.0000000e+00 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
0.0000000e+00 20 0.0000000e+00 0.0000000e+00 0.0000000e+00 58  0 0.0000000e+00 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
4.4926215e-01 21 4.4926215e-01 4.4926215e-01 0.0000000e+00 40  0 1.8611886e-17 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
4.4610163e-01 22 4.4610163e-01 4.4610163e-01 0.0000000e+00 20  0 4.9303807e-32 0.0000000e+00 #Y^,t,Y,y,var=0,c,v,e2--#1
