  0.0000000e+00 1   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  3.0673642e-01 2   3.0673642e-01   3.0673642e-01 #Y^ t Y yr
  0.0000000e+00 3   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  7.0541624e-01 4   7.0541625e-01   7.0541624e-01 #Y^ t Y yr
  0.0000000e+00 5   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 6   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  1.1887520e-01 7   1.2587650e-01   1.1887520e-01 #Y^ t Y yr
  4.8343636e-01 8   4.8343637e-01   4.8343636e-01 #Y^ t Y yr
  0.0000000e+00 9   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 10   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 11   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 12   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  5.9081078e-01 13   5.9081078e-01   5.9081078e-01 #Y^ t Y yr
  3.1989536e-01 14   3.1989536e-01   3.1989536e-01 #Y^ t Y yr
  1.4227621e-01 15   1.4227621e-01   1.4227621e-01 #Y^ t Y yr
  7.4746830e-01 16   7.4746829e-01   7.4746830e-01 #Y^ t Y yr
  0.0000000e+00 17   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 18   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 19   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 20   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  4.4926215e-01 21   4.4926215e-01   4.4926215e-01 #Y^ t Y yr
  4.4610163e-01 22   4.4610163e-01   4.4610163e-01 #Y^ t Y yr
  0.0000000e+00 23   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  4.8426018e-01 24   4.8426018e-01   4.8426018e-01 #Y^ t Y yr
  0.0000000e+00 25   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  1.0000000e+00 26   1.0000000e+00   1.0000000e+00 #Y^ t Y yr
  0.0000000e+00 27   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  8.5089926e-02 28   8.5089925e-02   8.5089926e-02 #Y^ t Y yr
  0.0000000e+00 29   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 30   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 31   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 32   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  6.9753844e-01 33   6.9753845e-01   6.9753844e-01 #Y^ t Y yr
  0.0000000e+00 34   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 35   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  1.0000000e+00 36   1.0000000e+00   1.0000000e+00 #Y^ t Y yr
  4.7623987e-01 37   4.7623987e-01   4.7623987e-01 #Y^ t Y yr
  5.8822889e-03 38   5.8822889e-03   5.8822889e-03 #Y^ t Y yr
  0.0000000e+00 39   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  4.3873174e-01 40   4.3873174e-01   4.3873174e-01 #Y^ t Y yr
  1.0000000e+00 41   1.0000000e+00   1.0000000e+00 #Y^ t Y yr
  0.0000000e+00 42   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 43   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  7.8044561e-01 44   7.8044562e-01   7.8044561e-01 #Y^ t Y yr
  3.7397818e-01 45   3.7397819e-01   3.7397818e-01 #Y^ t Y yr
  0.0000000e+00 46   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  1.0000000e+00 47   1.0000000e+00   1.0000000e+00 #Y^ t Y yr
  0.0000000e+00 48   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  8.0692036e-01 49   8.0692036e-01   8.0692036e-01 #Y^ t Y yr
  0.0000000e+00 50   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 51   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 52   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  1.0000000e+00 53   1.0000000e+00   1.0000000e+00 #Y^ t Y yr
  3.9972698e-01 54   3.9972698e-01   3.9972698e-01 #Y^ t Y yr
  0.0000000e+00 55   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 56   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  1.0000000e+00 57   1.0000000e+00   1.0000000e+00 #Y^ t Y yr
  0.0000000e+00 58   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  4.9734668e-01 59   4.9734668e-01   4.9734668e-01 #Y^ t Y yr
  0.0000000e+00 60   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 61   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 62   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 63   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  2.5009423e-02 64   2.5009423e-02   2.5009423e-02 #Y^ t Y yr
  0.0000000e+00 65   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 66   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 67   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  7.5494270e-02 68   7.5494270e-02   7.5494270e-02 #Y^ t Y yr
  0.0000000e+00 69   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  5.4835249e-01 70   5.4835249e-01   5.4835249e-01 #Y^ t Y yr
  1.0000000e+00 71   1.0000000e+00   1.0000000e+00 #Y^ t Y yr
  1.0000000e+00 72   1.0000000e+00   1.0000000e+00 #Y^ t Y yr
  9.9648387e-02 73   9.9648580e-02   9.9648387e-02 #Y^ t Y yr
  3.8853701e-01 74   3.8853701e-01   3.8853701e-01 #Y^ t Y yr
  0.0000000e+00 75   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  1.0000000e+00 76   1.0000000e+00   1.0000000e+00 #Y^ t Y yr
  3.0890559e-01 77   3.0890559e-01   3.0890559e-01 #Y^ t Y yr
  0.0000000e+00 78   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 79   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 80   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 81   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 82   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 83   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  4.3519750e-02 84   4.3519749e-02   4.3519750e-02 #Y^ t Y yr
  4.9827909e-01 85   4.9827909e-01   4.9827909e-01 #Y^ t Y yr
  6.2182937e-01 86   6.2182939e-01   6.2182937e-01 #Y^ t Y yr
  0.0000000e+00 87   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
  0.0000000e+00 88   0.0000000e+00   0.0000000e+00 #Y^ t Y yr
